customer_id,registration_date,customer_type,city,state,zip_code,customer_segment,total_orders
C000001,2022-01-01,individual,North Judithbury,IL,29757,medium_frequency,5
C000002,2024-10-30,individual,Lake Curtis,GA,97581,medium_frequency,1
C000003,2024-11-04,individual,New Roberttown,IL,12781,medium_frequency,0
C000004,2023-03-19,individual,East William,IL,03979,seasonal,2
C000005,2024-01-20,individual,Lake Debra,NC,71927,low_frequency,1
C000006,2024-01-20,individual,Robinsonshire,TX,36964,medium_frequency,2
C000007,2022-01-01,individual,Port Lindachester,IL,45098,medium_frequency,4
C000008,2024-10-23,individual,Ericmouth,FL,13897,low_frequency,1
C000009,2024-03-03,individual,South Colinstad,MI,79632,seasonal,0
C000010,2023-11-06,individual,Lindsaymouth,OH,70785,high_frequency,3
C000011,2023-03-18,individual,South Christianport,CA,82898,low_frequency,1
C000012,2023-11-30,individual,Barbaraland,PA,06507,medium_frequency,1
C000013,2024-02-28,individual,Port Keith,NY,10959,medium_frequency,1
C000014,2022-03-13,business,Port Craig,GA,36935,low_frequency,3
C000015,2024-04-06,business,Reidstad,IL,21820,medium_frequency,0
C000016,2024-09-06,individual,Michaelview,MI,92489,medium_frequency,0
C000017,2024-01-25,individual,New Cynthiaside,CA,96069,seasonal,3
C000018,2024-06-13,individual,East Steven,GA,35883,high_frequency,0
C000019,2023-04-24,individual,Lake Mark,TX,07832,high_frequency,5
C000020,2024-01-26,business,Port Antonio,MI,41848,low_frequency,2
C000021,2023-01-05,individual,Adamsborough,NY,74842,high_frequency,0
C000022,2024-07-14,individual,Jasonfort,IL,52357,high_frequency,2
C000023,2023-12-26,business,Thomasberg,CA,32826,low_frequency,3
C000024,2022-01-01,individual,Juliechester,IL,76985,medium_frequency,5
C000025,2023-07-12,individual,Coxberg,NC,67285,medium_frequency,3
C000026,2024-11-18,individual,Daviston,TX,14872,low_frequency,0
C000027,2023-12-27,individual,Lake Ernest,FL,89693,high_frequency,2
C000028,2024-09-17,individual,Carlsonfurt,FL,50520,seasonal,1
C000029,2024-02-01,individual,Riceside,NY,02005,seasonal,0
C000030,2024-08-25,individual,Lake Nicoleview,FL,84513,low_frequency,1
C000031,2024-03-23,individual,Danielchester,NC,21231,low_frequency,0
C000032,2024-11-18,individual,Smithview,NC,66113,medium_frequency,0
C000033,2023-01-11,individual,New Rita,GA,82460,low_frequency,2
C000034,2024-05-02,individual,Meaganhaven,MI,80319,medium_frequency,1
C000035,2022-02-19,individual,East Nathaniel,GA,21675,medium_frequency,3
C000036,2024-07-19,wholesale,New Mariotown,FL,15163,low_frequency,2
C000037,2023-10-23,individual,Natashaport,IL,31886,medium_frequency,2
C000038,2024-12-17,individual,East Natalieland,NY,11727,medium_frequency,0
C000039,2024-12-18,individual,Cabreraside,CA,16984,medium_frequency,0
C000040,2024-11-03,individual,Lake Thomas,PA,72564,medium_frequency,0
C000041,2023-11-19,individual,West Allison,CA,80008,medium_frequency,1
C000042,2024-07-16,individual,Brandtside,PA,99495,low_frequency,1
C000043,2023-04-22,individual,Lake Larry,NC,88540,medium_frequency,3
C000044,2024-10-16,individual,Samuelhaven,FL,59678,medium_frequency,0
C000045,2024-10-01,individual,East Jeffreymouth,TX,03258,medium_frequency,0
C000046,2024-11-24,business,New Jeffrey,GA,09806,medium_frequency,1
C000047,2022-03-29,individual,East Carloston,NC,43810,medium_frequency,5
C000048,2022-06-01,business,New Johnfort,TX,28581,high_frequency,6
C000049,2024-10-21,wholesale,Lake Selena,FL,75348,medium_frequency,0
C000050,2024-09-20,individual,Sanchezfort,IL,53855,medium_frequency,0
C000051,2023-12-31,individual,North Collin,TX,56999,seasonal,2
C000052,2023-02-15,business,,PA,96062,low_frequency,4
C000053,2023-12-22,individual,Lake Deniseville,GA,08445,low_frequency,0
C000054,2023-11-23,individual,Chandlerville,NC,33092,low_frequency,1
C000055,2024-12-29,individual,East Amanda,NY,18874,low_frequency,0
C000056,2024-05-27,wholesale,Whitemouth,FL,33243,medium_frequency,2
C000057,2024-09-23,individual,South Lindseyside,FL,13334,low_frequency,1
C000058,2023-08-21,individual,Lake Yvettetown,CA,12725,medium_frequency,4
C000059,2024-04-15,individual,East Richard,PA,63593,medium_frequency,2
C000060,2022-01-01,individual,Port Richard,PA,08186,medium_frequency,6
C000061,2024-06-06,individual,South Aaron,CA,51674,seasonal,1
C000062,2024-04-27,individual,Saramouth,TX,37889,medium_frequency,1
C000063,2023-07-15,individual,Hortonside,IL,87253,medium_frequency,3
C000064,2023-08-16,business,Mooreport,CA,29035,low_frequency,3
C000065,2024-02-24,wholesale,New Jillton,FL,98539,medium_frequency,1
C000066,2024-07-06,business,Brianshire,TX,62994,medium_frequency,0
C000067,2024-03-08,business,North Susan,MI,11001,medium_frequency,2
C000068,2024-12-04,individual,North Brooke,PA,89002,seasonal,0
C000069,2024-09-14,individual,South David,MI,75169,medium_frequency,0
C000070,2023-10-22,individual,New Brooke,OH,81684,low_frequency,0
C000071,2023-05-06,individual,South Dianeshire,NC,69023,medium_frequency,1
C000072,2024-11-29,individual,Sarahborough,FL,88283,low_frequency,0
C000073,2023-12-13,individual,Johnfurt,TX,17655,low_frequency,4
C000074,2024-07-12,individual,Stephenland,OH,01721,medium_frequency,0
C000075,2024-08-07,individual,Howellshire,PA,13605,low_frequency,0
C000076,2024-12-19,individual,New Jasonview,PA,17862,medium_frequency,0
C000077,2024-03-24,individual,Nicolebury,GA,48935,medium_frequency,2
C000078,2024-10-03,individual,Ericside,FL,92715,low_frequency,1
C000079,2024-10-13,individual,Cherylhaven,TX,01526,low_frequency,1
C000080,2023-09-15,wholesale,Sarahville,MI,18102,low_frequency,4
C000081,2023-06-01,individual,Darrellville,MI,97811,medium_frequency,1
C000082,2024-12-21,business,West Juan,OH,28108,high_frequency,0
C000083,2023-11-01,individual,Jamesview,MI,66745,medium_frequency,1
C000084,2024-09-16,individual,Kington,NC,12598,medium_frequency,0
C000085,2024-09-02,business,Calderonton,OH,00965,low_frequency,0
C000086,2024-06-05,individual,Kellieview,TX,21679,low_frequency,0
C000087,2024-07-23,individual,Arnoldchester,NC,74020,medium_frequency,0
C000088,2024-11-25,individual,North Charlesberg,FL,72012,medium_frequency,0
C000089,2024-12-24,individual,Port Mikeside,IL,19911,medium_frequency,0
