fc_id,sku_id,on_hand_qty,committed_qty,available_qty,reorder_point,max_stock_level,last_updated
FC_CA01,SKU001249,624,193,431,112,1120,2025-07-25
FC_CA01,SKU001152,513,151,362,84,840,2025-07-23
FC_CA01,SKU001412,560,180,380,84,840,2025-07-22
FC_CA01,SKU000411,790,248,542,140,1400,2025-07-26
FC_CA01,SKU001534,1567,507,1060,210,2100,2025-07-23
FC_CA01,SKU001677,244,67,177,56,560,2025-07-26
FC_CA01,SKU001919,785,251,534,140,1400,2025-07-22
FC_CA01,SKU001376,640,203,437,112,1120,2025-07-25
FC_CA01,SKU001059,1592,515,1077,210,2100,2025-07-24
FC_CA01,SKU000963,857,296,561,140,1400,2025-07-27
FC_CA01,SKU000132,254,53,201,56,560,2025-07-23
FC_CA01,SKU001294,579,178,401,112,1120,2025-07-26
FC_CA01,SKU001590,248,81,167,56,560,2025-07-23
FC_CA01,SKU001513,1638,471,1167,210,2100,2025-07-27
FC_CA01,SKU000407,589,167,422,112,1120,2025-07-22
FC_CA01,SKU000315,629,157,472,112,1120,2025-07-23
FC_CA01,SKU001256,245,71,174,56,560,2025-07-24
FC_CA01,SKU001659,545,165,380,84,840,2025-07-22
FC_CA01,SKU001511,246,81,165,56,560,2025-07-23
FC_CA01,SKU000797,1568,492,1076,210,2100,2025-07-25
FC_CA01,SKU000098,1609,468,1141,210,2100,2025-07-21
FC_CA01,SKU000467,246,69,177,56,560,2025-07-23
FC_CA01,SKU000447,1579,482,1097,210,2100,2025-07-23
FC_CA01,SKU000316,796,239,557,140,1400,2025-07-24
FC_CA01,SKU000185,852,225,627,140,1400,2025-07-25
FC_CA01,SKU000738,244,76,168,56,560,2025-07-21
FC_CA01,SKU000076,852,268,584,140,1400,2025-07-26
FC_CA01,SKU001530,512,181,331,84,840,2025-07-24
FC_CA01,SKU000048,262,99,163,56,560,2025-07-26
FC_CA01,SKU001696,251,83,168,56,560,2025-07-27
FC_CA01,SKU001695,645,149,496,112,1120,2025-07-26
FC_CA01,SKU001960,632,195,437,112,1120,2025-07-24
FC_CA01,SKU001948,568,178,390,112,1120,2025-07-26
FC_CA01,SKU000684,871,264,607,140,1400,2025-07-24
FC_CA01,SKU001965,1613,449,1164,210,2100,2025-07-24
FC_CA01,SKU000639,546,148,398,84,840,2025-07-26
FC_CA01,SKU000622,1598,485,1113,210,2100,2025-07-24
FC_CA01,SKU001595,1645,486,1159,210,2100,2025-07-24
FC_CA01,SKU001223,617,178,439,112,1120,2025-07-24
FC_CA01,SKU000400,1553,499,1054,210,2100,2025-07-27
FC_CA01,SKU000807,232,68,164,56,560,2025-07-22
FC_CA01,SKU001169,586,186,400,112,1120,2025-07-22
FC_CA01,SKU000574,1592,476,1116,210,2100,2025-07-27
FC_CA01,SKU000143,636,206,430,112,1120,2025-07-26
FC_CA01,SKU001896,570,165,405,84,840,2025-07-23
FC_CA01,SKU000962,530,139,391,84,840,2025-07-27
FC_CA01,SKU001352,797,227,570,140,1400,2025-07-23
FC_CA01,SKU000591,229,73,156,56,560,2025-07-22
FC_CA01,SKU000175,624,197,427,112,1120,2025-07-22
FC_CA01,SKU000262,241,68,173,56,560,2025-07-25
FC_CA01,SKU000610,235,63,172,56,560,2025-07-24
FC_CA01,SKU000598,535,167,368,84,840,2025-07-27
FC_CA01,SKU001358,1562,485,1077,210,2100,2025-07-27
FC_CA01,SKU000599,242,77,165,56,560,2025-07-26
FC_CA01,SKU001325,589,169,420,112,1120,2025-07-26
FC_CA01,SKU001953,1562,454,1108,210,2100,2025-07-24
FC_CA01,SKU000077,1540,463,1077,210,2100,2025-07-21
FC_CA01,SKU001669,518,141,377,84,840,2025-07-25
FC_CA01,SKU000891,551,161,390,84,840,2025-07-21
FC_CA01,SKU001296,659,185,474,112,1120,2025-07-23
FC_CA01,SKU000109,597,151,446,112,1120,2025-07-21
FC_CA01,SKU000894,613,190,423,112,1120,2025-07-25
FC_CA01,SKU001749,231,63,168,56,560,2025-07-21
FC_CA01,SKU000596,558,152,406,84,840,2025-07-23
FC_CA01,SKU001304,258,70,188,56,560,2025-07-24
FC_CA01,SKU001281,1524,454,1070,210,2100,2025-07-25
FC_CA01,SKU000628,247,74,173,56,560,2025-07-25
FC_CA01,SKU001285,252,80,172,56,560,2025-07-21
FC_CA01,SKU000418,516,177,339,84,840,2025-07-27
FC_CA01,SKU001382,234,81,153,56,560,2025-07-26
FC_CA01,SKU000311,253,92,161,56,560,2025-07-24
FC_CA01,SKU001913,565,178,387,84,840,2025-07-26
FC_CA01,SKU001447,872,274,598,140,1400,2025-07-27
FC_CA01,SKU001848,842,242,600,140,1400,2025-07-26
FC_CA01,SKU000478,625,212,413,112,1120,2025-07-23
FC_CA01,SKU000465,810,255,555,140,1400,2025-07-27
FC_CA01,SKU001672,539,152,387,84,840,2025-07-26
FC_CA01,SKU001904,812,256,556,140,1400,2025-07-24
FC_CA01,SKU001091,1582,462,1120,210,2100,2025-07-24
FC_CA01,SKU001494,650,205,445,112,1120,2025-07-26
FC_CA01,SKU000788,1561,447,1114,210,2100,2025-07-26
FC_CA01,SKU001779,1609,499,1110,210,2100,2025-07-21
