movement_id,fc_id,sku_id,movement_type,quantity,movement_date,reference_id
MOV217259,FC_FL07,SKU001761,transfer_out,16,2025-07-17,REF86993
MOV744047,FC_FL07,SKU000310,receipt,3,2025-06-09,REF91913
MOV928385,FC_CA01,SKU000881,adjustment,27,2025-07-22,REF86635
MOV419586,FC_IL06,SKU000894,transfer_out,49,2025-06-06,REF58884
MOV933737,FC_TX03,SKU001819,receipt,11,2025-07-13,REF29988
MOV210830,FC_CA01,SKU000276,receipt,8,2025-06-14,REF48293
MOV489948,FC_FL07,SKU001295,shipment,38,2025-07-01,REF61322
MOV429576,FC_CA01,SKU001562,adjustment,29,2025-06-21,REF86287
MOV826359,FC_IL06,SKU001755,adjustment,19,2025-06-21,REF80202
MOV379345,FC_FL07,SKU000353,transfer_out,4,2025-05-17,REF82480
MOV544297,FC_FL07,SKU001821,adjustment,10,2025-06-22,REF48776
MOV966975,FC_GA04,SKU001028,transfer_in,44,2025-05-28,REF39666
MOV822052,FC_GA04,SKU001514,transfer_out,1,2025-06-22,REF12955
MOV800281,FC_CA01,SKU001979,transfer_in,20,2025-06-06,REF78486
MOV386920,FC_CA01,SKU000807,receipt,17,2025-05-09,REF49801
MOV492022,FC_GA04,SKU001703,receipt,46,2025-06-13,REF85434
MOV470866,FC_IL06,SKU000484,transfer_out,12,2025-06-01,REF69570
MOV306575,FC_NJ05,SKU001541,transfer_in,36,2025-06-21,REF18601
MOV458952,FC_WA02,SKU001833,adjustment,37,2025-06-29,REF65592
MOV851915,FC_IL06,SKU000846,transfer_out,29,2025-06-11,REF85774
MOV724556,FC_IL06,SKU001389,transfer_out,42,2025-06-13,REF94303
MOV237403,FC_WA02,SKU001823,transfer_in,38,2025-06-19,REF20540
MOV460469,FC_GA04,SKU000492,shipment,49,2025-06-09,REF20992
MOV297246,FC_IL06,SKU001746,adjustment,12,2025-07-01,REF12796
MOV231195,FC_CA01,SKU001713,transfer_in,43,2025-07-14,REF92197
MOV337680,FC_IL06,SKU001989,transfer_out,15,2025-07-21,REF31120
MOV921242,FC_IL06,SKU001285,adjustment,38,2025-06-14,REF62783
MOV326088,FC_FL07,SKU000674,adjustment,34,2025-06-25,REF21833
MOV513444,FC_CA01,SKU000982,transfer_out,17,2025-07-07,REF92798
MOV914513,FC_IL06,SKU001988,adjustment,42,2025-06-28,REF47232
MOV916418,FC_WA02,SKU001589,shipment,7,2025-06-26,REF75451
MOV316156,FC_TX03,SKU001901,transfer_in,45,2025-07-12,REF85738
MOV572737,FC_TX03,SKU000017,transfer_out,29,2025-06-06,REF78606
MOV586357,FC_IL06,SKU001210,transfer_in,3,2025-07-04,REF60250
MOV484280,FC_FL07,SKU000850,receipt,29,2025-06-24,REF63546
MOV409844,FC_TX03,SKU001083,shipment,23,2025-07-21,REF75472
MOV214680,FC_TX03,SKU001691,adjustment,15,2025-06-19,REF20510
MOV806993,FC_NJ05,SKU001928,shipment,38,2025-06-14,REF56713
MOV338008,FC_TX03,SKU000823,receipt,40,2025-05-24,REF15106
MOV709166,FC_TX03,SKU001822,receipt,31,2025-06-09,REF24118
MOV764382,FC_TX03,SKU001665,transfer_out,37,2025-06-23,REF93730
MOV747635,FC_IL06,SKU000980,transfer_in,46,2025-06-10,REF92671
MOV978882,FC_CA01,SKU001438,transfer_out,30,2025-06-01,REF24872
MOV191268,FC_IL06,SKU001566,transfer_in,37,2025-07-16,REF73627
MOV431419,FC_GA04,SKU000894,shipment,41,2025-06-08,REF38593
MOV961668,FC_CA01,SKU001482,shipment,16,2025-07-15,REF47112
MOV960922,FC_IL06,SKU001348,adjustment,46,2025-05-26,REF17661
MOV532488,FC_TX03,SKU000545,transfer_in,40,2025-05-03,REF29970
MOV223631,FC_TX03,SKU001339,transfer_in,15,2025-05-02,REF87113
MOV206223,FC_WA02,SKU001913,shipment,17,2025-07-24,REF60181
MOV952952,FC_NJ05,SKU001158,receipt,36,2025-07-14,REF33933
MOV554350,FC_IL06,SKU000509,transfer_out,9,2025-06-27,REF64436
MOV750789,FC_NJ05,SKU000838,transfer_out,8,2025-06-08,REF72968
MOV270455,FC_IL06,SKU001847,adjustment,21,2025-07-12,REF69629
MOV926447,FC_FL07,SKU001244,transfer_in,18,2025-06-16,REF41313
MOV325115,FC_IL06,SKU000125,transfer_out,47,2025-05-16,REF33296
MOV497704,FC_IL06,SKU000858,receipt,26,2025-07-27,REF37259
MOV616035,FC_NJ05,SKU001290,shipment,3,2025-05-18,REF18536
MOV691909,FC_IL06,SKU001276,transfer_out,46,2025-06-08,REF77712
MOV282788,FC_FL07,SKU000199,adjustment,23,2025-05-28,REF35357
MOV540835,FC_NJ05,SKU000694,transfer_out,27,2025-06-24,REF75552
MOV174761,FC_IL06,SKU000579,receipt,6,2025-07-11,REF26557
MOV148392,FC_NJ05,SKU001446,adjustment,29,2025-05-03,REF66430
MOV595688,FC_TX03,SKU000153,transfer_out,47,2025-06-22,REF90629
MOV570543,FC_FL07,SKU001633,shipment,35,2025-05-14,REF65325
MOV580945,FC_TX03,SKU000780,shipment,28,2025-05-10,REF58557
MOV542490,FC_WA02,SKU000140,transfer_out,49,2025-06-24,REF21309
MOV769387,FC_IL06,SKU001791,transfer_in,42,2025-05-28,REF71431
MOV944904,FC_GA04,SKU000962,receipt,11,2025-04-30,REF19555
MOV265340,FC_FL07,SKU000874,receipt,33,2025-06-28,REF81175
MOV321661,FC_IL06,SKU000785,shipment,47,2025-07-03,REF86942
MOV884566,FC_TX03,SKU000568,transfer_in,6,2025-07-12,REF43493
MOV819063,FC_IL06,SKU001696,receipt,5,2025-06-02,REF48361
MOV182404,FC_NJ05,SKU001724,shipment,1,2025-07-23,REF60051
MOV389073,FC_FL07,SKU001238,transfer_out,46,2025-06-05,REF13572
MOV611149,FC_NJ05,SKU001560,adjustment,38,2025-07-04,REF24091
MOV468254,FC_TX03,SKU000379,shipment,2,2025-05-03,REF10151
MOV552487,FC_TX03,SKU000687,adjustment,40,2025-06-30,REF98844
MOV512430,FC_FL07,SKU001568,adjustment,30,2025-06-01,REF31739
MOV675300,FC_FL07,SKU000274,receipt,27,2025-05-31,REF36241
MOV152510,FC_NJ05,SKU000704,receipt,2,2025-05-02,REF44124
MOV443706,FC_GA04,SKU001310,receipt,24,2025-06-04,REF71530
MOV828684,FC_WA02,SKU000538,receipt,14,2025-07-01,REF76742
MOV519511,FC_NJ05,SKU000512,transfer_in,10,2025-06-19,REF53985
MOV748606,FC_NJ05,SKU001554,adjustment,10,2025-05-16,REF29665
MOV258873,FC_IL06,SKU001590,adjustment,42,2025-07-21,REF26514
MOV875013,FC_TX03,SKU000611,receipt,13,2025-05-04,REF12416
MOV906630,FC_TX03,SKU000207,adjustment,4,2025-06-05,REF55411
MOV856072,FC_IL06,SKU000867,shipment,7,2025-07-03,REF91784
MOV601554,FC_GA04,SKU001421,receipt,14,2025-06-30,REF69215
MOV420645,FC_WA02,SKU001175,adjustment,20,2025-06-30,REF25118
MOV411325,FC_CA01,SKU001231,shipment,27,2025-05-25,REF27763
MOV769553,FC_CA01,SKU001710,transfer_out,2,2025-05-04,REF20875
MOV632257,FC_NJ05,SKU000329,shipment,19,2025-07-01,REF10328
MOV321127,FC_GA04,SKU001514,adjustment,23,2025-07-27,REF47385
MOV250915,FC_FL07,SKU001306,receipt,8,2025-04-29,REF59619
MOV869124,FC_NJ05,SKU001148,transfer_out,26,2025-06-21,REF71239
MOV989169,FC_TX03,SKU001837,receipt,46,2025-07-27,REF32672
MOV170963,FC_FL07,SKU000153,transfer_out,17,2025-07-27,REF75480
MOV128778,FC_GA04,SKU000366,receipt,26,2025-05-26,REF66237
MOV538055,FC_CA01,SKU001260,receipt,27,2025-06-18,REF71945
MOV773205,FC_CA01,SKU000894,receipt,49,2025-07-14,REF13607
MOV794098,FC_FL07,SKU000345,transfer_in,11,2025-07-16,REF97890
MOV685141,FC_FL07,SKU000611,adjustment,17,2025-05-10,REF74086
MOV740258,FC_WA02,SKU000923,transfer_out,46,2025-06-05,REF28567
MOV230419,FC_FL07,SKU001536,receipt,36,2025-05-06,REF66853
MOV606893,FC_IL06,SKU001446,shipment,9,2025-05-09,REF29246
MOV346637,FC_GA04,SKU000321,transfer_in,16,2025-05-02,REF44763
MOV508499,FC_WA02,SKU000757,transfer_out,10,2025-07-05,REF54953
MOV632092,FC_WA02,SKU000465,transfer_in,27,2025-05-20,REF62067
MOV945728,FC_TX03,SKU001678,shipment,12,2025-06-03,REF89150
MOV738803,FC_IL06,SKU000044,adjustment,42,2025-06-20,REF10296
MOV884071,FC_FL07,SKU000923,transfer_in,15,2025-07-10,REF98388
MOV762942,FC_NJ05,SKU001178,adjustment,28,2025-07-08,REF22589
MOV526111,FC_WA02,SKU001794,receipt,3,2025-07-03,REF64411
MOV475353,FC_WA02,SKU001595,adjustment,24,2025-06-20,REF99630
MOV206712,FC_NJ05,SKU001553,transfer_out,42,2025-07-18,REF39445
MOV542417,FC_CA01,SKU000329,shipment,16,2025-07-15,REF63439
MOV836624,FC_GA04,SKU001530,shipment,33,2025-05-14,REF31900
MOV898468,FC_WA02,SKU001176,shipment,37,2025-05-13,REF15049
MOV669558,FC_NJ05,SKU000040,shipment,4,2025-06-04,REF18252
MOV818124,FC_IL06,SKU000383,transfer_in,31,2025-05-01,REF28268
MOV205355,FC_FL07,SKU000223,transfer_in,8,2025-05-22,REF12741
MOV843545,FC_FL07,SKU000833,receipt,3,2025-07-05,REF57645
MOV125683,FC_TX03,SKU000195,receipt,23,2025-07-22,REF84824
MOV499456,FC_GA04,SKU001050,shipment,6,2025-07-18,REF40962
MOV731537,FC_IL06,SKU001709,adjustment,8,2025-06-23,REF44109
MOV608418,FC_FL07,SKU001444,adjustment,39,2025-06-21,REF35451
MOV408970,FC_GA04,SKU001814,transfer_out,45,2025-06-19,REF81706
MOV175309,FC_CA01,SKU001985,adjustment,28,2025-07-05,REF44878
MOV515788,FC_TX03,SKU000575,shipment,32,2025-04-29,REF98099
MOV889859,FC_WA02,SKU001441,adjustment,4,2025-06-22,REF29064
MOV372702,FC_NJ05,SKU001569,transfer_in,38,2025-07-05,REF68185
MOV416658,FC_FL07,SKU001446,shipment,37,2025-04-30,REF71396
MOV693931,FC_CA01,SKU001360,transfer_out,4,2025-07-05,REF49648
MOV317718,FC_IL06,SKU001921,shipment,43,2025-05-29,REF50849
MOV398969,FC_WA02,SKU001838,transfer_in,3,2025-07-15,REF24798
MOV803207,FC_GA04,SKU001812,shipment,39,2025-06-13,REF58361
MOV494916,FC_IL06,SKU000366,transfer_in,19,2025-06-09,REF60529
MOV193678,FC_NJ05,SKU000653,receipt,26,2025-07-18,REF88696
MOV517784,FC_FL07,SKU000246,transfer_in,29,2025-05-17,REF21476
MOV333326,FC_WA02,SKU001192,transfer_out,10,2025-05-15,REF40910
MOV712049,FC_NJ05,SKU001693,receipt,12,2025-05-16,REF91337
MOV491646,FC_CA01,SKU001607,receipt,25,2025-04-29,REF25012
MOV808527,FC_NJ05,SKU000822,shipment,46,2025-07-20,REF86974
MOV606758,FC_WA02,SKU000926,transfer_in,30,2025-07-16,REF60406
MOV186097,FC_GA04,SKU001107,adjustment,2,2025-05-02,REF35469
MOV241153,FC_NJ05,SKU000070,transfer_in,24,2025-07-15,REF23415
MOV511115,FC_GA04,SKU001541,transfer_in,1,2025-05-31,REF75835
MOV840714,FC_IL06,SKU000552,adjustment,40,2025-04-29,REF82904
MOV581863,FC_CA01,SKU000879,receipt,43,2025-05-13,REF59609
MOV801409,FC_WA02,SKU001884,transfer_out,46,2025-06-14,REF98953
MOV135539,FC_TX03,SKU001513,transfer_in,22,2025-07-22,REF53514
MOV790784,FC_NJ05,SKU001090,transfer_out,35,2025-05-06,REF25006
MOV750111,FC_NJ05,SKU001071,transfer_in,14,2025-05-20,REF78703
MOV661152,FC_CA01,SKU000627,transfer_in,10,2025-05-19,REF99067
MOV164817,FC_GA04,SKU000697,receipt,43,2025-06-26,REF12428
MOV383731,FC_GA04,SKU000219,transfer_out,48,2025-06-01,REF92141
MOV635386,FC_TX03,SKU001891,adjustment,5,2025-05-07,REF61728
MOV797726,FC_IL06,SKU001668,receipt,18,2025-07-24,REF71618
MOV978313,FC_WA02,SKU000664,adjustment,47,2025-05-17,REF88771
MOV186458,FC_CA01,SKU001346,transfer_out,47,2025-06-26,REF41860
MOV110287,FC_WA02,SKU001433,shipment,28,2025-05-25,REF26920
MOV917467,FC_FL07,SKU000763,transfer_in,41,2025-05-02,REF21473
MOV688609,FC_NJ05,SKU001229,receipt,27,2025-06-03,REF86770
MOV164400,FC_WA02,SKU000882,adjustment,29,2025-07-12,REF55849
MOV267853,FC_FL07,SKU001275,transfer_out,2,2025-06-14,REF39788
MOV216451,FC_FL07,SKU000325,receipt,40,2025-05-06,REF82071
MOV559813,FC_FL07,SKU000159,shipment,1,2025-07-23,REF61585
MOV468131,FC_GA04,SKU000856,shipment,4,2025-07-22,REF63887
MOV615144,FC_WA02,SKU001381,adjustment,11,2025-07-27,REF34338
MOV294790,FC_NJ05,SKU001455,transfer_in,24,2025-05-25,REF24086
MOV264218,FC_WA02,SKU001232,transfer_out,27,2025-06-17,REF61062
MOV451637,FC_IL06,SKU001489,receipt,32,2025-07-08,REF13101
MOV833449,FC_GA04,SKU001148,adjustment,1,2025-05-23,REF77672
MOV427412,FC_NJ05,SKU000072,shipment,35,2025-05-11,REF17157
MOV200596,FC_TX03,SKU001525,receipt,4,2025-07-03,REF84314
MOV471130,FC_CA01,SKU000275,shipment,42,2025-07-16,REF86150
MOV733807,FC_CA01,SKU000831,adjustment,28,2025-06-29,REF34479
MOV267363,FC_CA01,SKU000521,transfer_out,35,2025-05-16,REF44680
MOV713757,FC_NJ05,SKU001497,transfer_out,33,2025-05-16,REF45566
MOV367178,FC_IL06,SKU001016,shipment,47,2025-07-14,REF44558
MOV128707,FC_NJ05,SKU000987,shipment,46,2025-07-07,REF62424
MOV553114,FC_FL07,SKU000381,transfer_out,26,2025-07-27,REF21236
MOV993458,FC_TX03,SKU001017,shipment,12,2025-06-01,REF85189
MOV760130,FC_NJ05,SKU001750,receipt,37,2025-05-16,REF26771
MOV240799,FC_WA02,SKU000433,transfer_out,43,2025-05-04,REF87455
MOV614527,FC_GA04,SKU000446,transfer_out,29,2025-07-18,REF60456
MOV835022,FC_NJ05,SKU001033,shipment,34,2025-07-03,REF46365
MOV958968,FC_IL06,SKU001548,transfer_in,42,2025-06-20,REF60679
MOV169064,FC_TX03,SKU001448,receipt,37,2025-06-21,REF34657
MOV885066,FC_CA01,SKU001613,transfer_in,19,2025-06-22,REF32022
MOV465400,FC_FL07,SKU000863,transfer_out,43,2025-07-16,REF54231
MOV822103,FC_CA01,SKU000681,transfer_out,30,2025-06-25,REF25574
MOV408939,FC_WA02,SKU001512,adjustment,48,2025-05-20,REF33137
MOV944209,FC_FL07,SKU001878,transfer_out,48,2025-05-06,REF24990
MOV842761,FC_NJ05,SKU001941,shipment,25,2025-06-14,REF32342
MOV392906,FC_TX03,SKU000256,adjustment,2,2025-06-01,REF59472
MOV871731,FC_FL07,SKU001829,transfer_out,38,2025-05-04,REF55097
MOV180815,FC_NJ05,SKU001090,transfer_in,24,2025-06-17,REF32921
MOV158147,FC_GA04,SKU000650,receipt,1,2025-06-19,REF93685
MOV140117,FC_NJ05,SKU001282,transfer_in,14,2025-06-21,REF64252
MOV219396,FC_FL07,SKU000487,adjustment,36,2025-07-16,REF69229
MOV638255,FC_CA01,SKU001354,transfer_out,40,2025-04-29,REF78980
MOV618442,FC_CA01,SKU000136,transfer_in,18,2025-07-27,REF24546
MOV309427,FC_NJ05,SKU001738,transfer_in,36,2025-06-01,REF39354
MOV643444,FC_WA02,SKU000634,receipt,19,2025-07-07,REF50229
MOV563827,FC_FL07,SKU000130,shipment,38,2025-07-21,REF35722
MOV256819,FC_TX03,SKU001022,receipt,34,2025-05-24,REF30313
MOV162394,FC_CA01,SKU001248,receipt,18,2025-07-24,REF56920
MOV586827,FC_FL07,SKU001280,transfer_out,30,2025-05-04,REF39265
MOV551732,FC_IL06,SKU000760,receipt,4,2025-06-03,REF84542
MOV903662,FC_GA04,SKU000382,receipt,32,2025-06-04,REF86080
MOV295872,FC_CA01,SKU001985,shipment,28,2025-05-29,REF72675
MOV126985,FC_GA04,SKU000248,receipt,6,2025-06-15,REF34492
MOV927832,FC_IL06,SKU000864,receipt,49,2025-07-23,REF72846
MOV982975,FC_IL06,SKU000927,receipt,16,2025-07-01,REF85400
MOV264764,FC_NJ05,SKU000012,transfer_in,28,2025-06-26,REF10240
MOV833709,FC_NJ05,SKU001772,transfer_out,26,2025-05-24,REF66421
MOV882124,FC_WA02,SKU001461,transfer_out,19,2025-06-23,REF90651
MOV664207,FC_GA04,SKU000669,adjustment,35,2025-07-11,REF19431
MOV972130,FC_NJ05,SKU001005,adjustment,42,2025-05-05,REF67346
MOV250361,FC_NJ05,SKU000896,transfer_in,18,2025-07-26,REF21261
MOV780973,FC_CA01,SKU000463,receipt,11,2025-05-21,REF72930
MOV153681,FC_TX03,SKU001065,shipment,15,2025-05-16,REF66508
MOV859143,FC_IL06,SKU000023,transfer_out,13,2025-05-05,REF60189
MOV612927,FC_FL07,SKU001141,receipt,27,2025-05-07,REF60624
MOV823866,FC_IL06,SKU001029,receipt,46,2025-06-14,REF33709
MOV957022,FC_TX03,SKU000109,shipment,26,2025-06-16,REF17010
MOV258408,FC_IL06,SKU000192,receipt,11,2025-05-13,REF48334
MOV183111,FC_GA04,SKU001897,adjustment,23,2025-05-02,REF31709
MOV538118,FC_IL06,SKU000440,adjustment,17,2025-05-14,REF22782
MOV117359,FC_TX03,SKU001853,shipment,11,2025-06-19,REF37063
MOV113907,FC_GA04,SKU000175,receipt,29,2025-06-21,REF37066
MOV974924,FC_NJ05,SKU001305,transfer_in,34,2025-05-17,REF12450
MOV901351,FC_NJ05,SKU000742,adjustment,13,2025-07-14,REF85851
MOV190865,FC_WA02,SKU001020,adjustment,47,2025-05-28,REF39670
MOV768282,FC_TX03,SKU000917,transfer_in,33,2025-05-10,REF85651
MOV349325,FC_FL07,SKU001149,shipment,4,2025-06-20,REF43450
MOV984222,FC_TX03,SKU000504,receipt,8,2025-05-05,REF53191
MOV940088,FC_IL06,SKU001550,adjustment,48,2025-07-19,REF42494
MOV194780,FC_CA01,SKU000005,receipt,39,2025-07-03,REF18981
MOV841136,FC_TX03,SKU000342,adjustment,6,2025-07-23,REF77651
MOV722954,FC_CA01,SKU000691,transfer_in,12,2025-05-15,REF40117
MOV156312,FC_FL07,SKU000697,shipment,45,2025-06-14,REF40305
MOV183543,FC_TX03,SKU000493,transfer_out,9,2025-05-21,REF87086
MOV585127,FC_GA04,SKU001566,transfer_out,44,2025-05-12,REF84427
MOV667242,FC_TX03,SKU001667,transfer_in,11,2025-06-18,REF71849
MOV956097,FC_CA01,SKU000768,receipt,37,2025-05-16,REF79354
MOV572304,FC_FL07,SKU000565,receipt,38,2025-06-12,REF19548
MOV320599,FC_TX03,SKU001927,adjustment,30,2025-07-26,REF15353
MOV417350,FC_NJ05,SKU001748,transfer_out,12,2025-05-12,REF40462
MOV632115,FC_WA02,SKU001920,receipt,31,2025-06-13,REF97894
MOV518505,FC_WA02,SKU000856,adjustment,34,2025-06-16,REF12949
MOV877607,FC_WA02,SKU001764,transfer_in,16,2025-06-25,REF10901
MOV114731,FC_FL07,SKU000976,adjustment,1,2025-07-09,REF73456
MOV952904,FC_WA02,SKU001175,transfer_in,39,2025-07-03,REF70148
MOV746574,FC_CA01,SKU000409,shipment,48,2025-06-09,REF46925
MOV264918,FC_IL06,SKU000912,shipment,26,2025-07-07,REF70368
MOV578931,FC_WA02,SKU000215,transfer_in,11,2025-07-09,REF14514
MOV735773,FC_GA04,SKU001993,adjustment,38,2025-07-23,REF70623
MOV655612,FC_WA02,SKU001046,adjustment,30,2025-07-14,REF58267
MOV256426,FC_WA02,SKU001417,transfer_out,4,2025-06-04,REF42225
MOV983029,FC_NJ05,SKU000175,receipt,20,2025-07-12,REF86936
MOV747742,FC_WA02,SKU001388,transfer_out,10,2025-05-05,REF34671
MOV648898,FC_TX03,SKU000599,receipt,14,2025-05-30,REF50416
MOV171410,FC_WA02,SKU001458,transfer_out,14,2025-05-20,REF26061
MOV849775,FC_NJ05,SKU000080,adjustment,49,2025-06-12,REF92194
MOV780189,FC_GA04,SKU000954,shipment,45,2025-05-24,REF42802
MOV663260,FC_FL07,SKU001350,shipment,16,2025-07-03,REF94427
MOV451400,FC_TX03,SKU001798,transfer_in,30,2025-07-16,REF25918
MOV933775,FC_FL07,SKU001681,receipt,25,2025-06-24,REF57007
MOV365027,FC_CA01,SKU001895,receipt,39,2025-05-26,REF32340
MOV803697,FC_GA04,SKU000207,receipt,38,2025-05-20,REF36893
MOV372837,FC_FL07,SKU000378,adjustment,14,2025-05-23,REF15432
MOV283717,FC_TX03,SKU001853,adjustment,48,2025-06-04,REF82929
MOV784277,FC_TX03,SKU001607,shipment,12,2025-06-17,REF57522
MOV931377,FC_WA02,SKU001379,transfer_out,38,2025-05-31,REF18331
MOV109749,FC_TX03,SKU000040,shipment,27,2025-06-19,REF78810
MOV735771,FC_WA02,SKU000548,adjustment,46,2025-05-13,REF93021
MOV955270,FC_FL07,SKU000723,adjustment,40,2025-05-09,REF68159
MOV200668,FC_TX03,SKU000651,transfer_out,41,2025-04-29,REF78586
MOV796677,FC_WA02,SKU001315,receipt,25,2025-06-11,REF45840
MOV661439,FC_FL07,SKU001528,shipment,26,2025-05-30,REF41901
MOV184089,FC_NJ05,SKU001366,transfer_out,34,2025-05-31,REF88881
MOV975681,FC_NJ05,SKU000676,adjustment,47,2025-06-29,REF88036
MOV554404,FC_GA04,SKU000782,adjustment,29,2025-05-26,REF98371
MOV963960,FC_CA01,SKU001919,adjustment,7,2025-06-06,REF11456
MOV686273,FC_WA02,SKU000218,transfer_in,42,2025-07-10,REF68794
MOV813512,FC_TX03,SKU001986,adjustment,19,2025-05-12,REF54395
MOV363079,FC_TX03,SKU001326,transfer_in,5,2025-06-16,REF74999
MOV622636,FC_TX03,SKU001417,receipt,38,2025-05-31,REF40956
MOV636266,FC_CA01,SKU001479,receipt,27,2025-07-11,REF81696
MOV224076,FC_CA01,SKU001060,shipment,10,2025-07-10,REF68975
MOV932462,FC_IL06,SKU000281,receipt,24,2025-06-10,REF80373
MOV335620,FC_IL06,SKU000775,shipment,24,2025-06-03,REF34887
MOV235664,FC_NJ05,SKU001430,adjustment,38,2025-05-25,REF71810
MOV649502,FC_IL06,SKU001134,transfer_in,19,2025-05-06,REF24676
MOV112118,FC_GA04,SKU001627,adjustment,29,2025-07-20,REF96983
MOV224127,FC_GA04,SKU001377,shipment,49,2025-07-15,REF65983
MOV258495,FC_TX03,SKU001446,adjustment,43,2025-05-10,REF89634
MOV645482,FC_TX03,SKU001815,transfer_in,45,2025-06-23,REF72958
MOV367858,FC_GA04,SKU001374,shipment,5,2025-07-13,REF47350
MOV541876,FC_WA02,SKU001371,receipt,43,2025-06-24,REF36415
MOV194386,FC_CA01,SKU001768,transfer_out,28,2025-06-08,REF83373
MOV826050,FC_NJ05,SKU000972,shipment,40,2025-05-07,REF55214
MOV810807,FC_FL07,SKU001687,transfer_in,40,2025-07-03,REF19604
MOV507191,FC_IL06,SKU000154,transfer_in,20,2025-05-26,REF90724
MOV220454,FC_GA04,SKU001377,transfer_out,2,2025-07-07,REF90552
MOV119809,FC_TX03,SKU001825,adjustment,27,2025-06-15,REF16181
MOV763034,FC_CA01,SKU000490,shipment,46,2025-05-25,REF46457
MOV457766,FC_FL07,SKU000174,transfer_out,3,2025-05-10,REF88549
MOV824584,FC_NJ05,SKU001662,transfer_out,4,2025-06-04,REF47827
MOV972233,FC_FL07,SKU001917,transfer_out,29,2025-06-23,REF33698
MOV350343,FC_WA02,SKU000595,transfer_out,16,2025-07-10,REF13273
MOV498873,FC_GA04,SKU000701,transfer_in,42,2025-07-05,REF65806
MOV168368,FC_NJ05,SKU000359,transfer_out,38,2025-07-20,REF90842
MOV114339,FC_WA02,SKU001513,receipt,13,2025-05-10,REF72756
MOV784954,FC_FL07,SKU001445,transfer_in,1,2025-05-25,REF77842
MOV407639,FC_WA02,SKU001213,transfer_in,49,2025-05-14,REF51955
MOV269252,FC_FL07,SKU000921,receipt,44,2025-05-25,REF63622
MOV984264,FC_FL07,SKU000806,adjustment,26,2025-07-26,REF70822
MOV225142,FC_TX03,SKU000126,adjustment,27,2025-06-26,REF38574
MOV165338,FC_NJ05,SKU000235,transfer_in,4,2025-06-05,REF95289
MOV940101,FC_NJ05,SKU000995,receipt,11,2025-05-27,REF73911
MOV308430,FC_FL07,SKU000052,receipt,11,2025-07-04,REF86026
MOV125659,FC_WA02,SKU001751,adjustment,13,2025-07-12,REF79343
MOV602578,FC_TX03,SKU000900,adjustment,32,2025-06-02,REF35247
MOV456706,FC_CA01,SKU000844,shipment,34,2025-06-19,REF95711
MOV691499,FC_NJ05,SKU001866,shipment,17,2025-06-22,REF36710
MOV269749,FC_FL07,SKU001982,transfer_out,21,2025-07-08,REF45813
MOV318614,FC_WA02,SKU000186,transfer_out,16,2025-05-30,REF97408
