order_id,sku_id,quantity,unit_price,line_total
ORD00000001,SKU000951,3,51.15,153.45
ORD00000002,SKU001291,1,22.66,22.66
ORD00000003,SKU001332,2,19.16,38.32
ORD00000003,SKU001862,1,6.61,6.61
ORD00000003,SKU000920,1,15.01,15.01
ORD00000004,SKU001546,1,4.93,4.93
ORD00000005,SKU001599,1,168.38,168.38
ORD00000005,SKU001193,2,16.96,33.92
ORD00000005,SKU000688,2,41.11,82.22
ORD00000006,SKU001653,2,52.99,105.98
ORD00000006,SKU001695,2,43.81,87.62
ORD00000007,SKU000337,1,9.41,9.41
ORD00000007,SKU001917,1,21.52,21.52
ORD00000008,SKU000677,1,33.73,33.73
ORD00000008,SKU001414,1,28.5,28.5
ORD00000008,SKU000596,2,283.33,566.66
ORD00000009,SKU001849,2,12.74,25.48
ORD00000009,SKU000539,1,120.55,120.55
ORD00000009,SKU001023,2,76.46,152.92
ORD00000010,SKU001433,2,31.52,63.04
ORD00000011,SKU001065,2,35.94,71.88
ORD00000012,SKU001729,2,7.99,15.98
ORD00000013,SKU001363,1,9.36,9.36
ORD00000013,SKU000839,2,28.26,56.52
ORD00000014,SKU000023,1,198.84,198.84
ORD00000014,SKU001080,1,6.58,6.58
ORD00000015,SKU001662,1,27.98,27.98
ORD00000016,SKU000699,1,11.97,11.97
ORD00000017,SKU000520,1,184.29,184.29
ORD00000018,SKU001013,1,22.18,22.18
ORD00000019,SKU001204,3,7.13,21.39
ORD00000019,SKU001834,1,6.14,6.14
ORD00000020,SKU000382,1,48.89,48.89
ORD00000020,SKU000623,1,860.83,860.83
ORD00000020,SKU000237,1,45.88,45.88
ORD00000020,SKU001775,1,46.89,46.89
ORD00000020,SKU000731,3,69.56,208.68
ORD00000021,SKU000383,1,40.85,40.85
ORD00000021,SKU000854,1,53.41,53.41
ORD00000021,SKU001062,2,8.24,16.48
ORD00000022,SKU001703,1,45.54,45.54
ORD00000022,SKU001382,1,16.62,16.62
ORD00000023,SKU000895,2,159.41,318.82
ORD00000023,SKU001411,1,37.5,37.5
ORD00000024,SKU000586,1,52.34,52.34
ORD00000024,SKU000565,1,26.12,26.12
ORD00000024,SKU001795,1,320.01,320.01
ORD00000024,SKU001743,1,285.24,285.24
ORD00000024,SKU001777,1,57.0,57.0
ORD00000025,SKU000765,2,13.89,27.78
ORD00000026,SKU001847,1,220.01,220.01
ORD00000027,SKU001136,1,152.15,152.15
ORD00000027,SKU001089,1,28.45,28.45
ORD00000027,SKU000913,1,25.63,25.63
ORD00000028,SKU001760,1,77.34,77.34
ORD00000028,SKU001131,1,289.99,289.99
ORD00000029,SKU000963,2,442.37,884.74
ORD00000029,SKU000985,1,41.18,41.18
ORD00000030,SKU000504,1,53.59,53.59
ORD00000031,SKU000166,1,31.68,31.68
ORD00000031,SKU000259,1,12.28,12.28
ORD00000032,SKU001954,1,23.18,23.18
ORD00000033,SKU001073,2,89.02,178.04
ORD00000034,SKU000898,1,10.29,10.29
ORD00000034,SKU001126,1,63.73,63.73
ORD00000035,SKU000883,3,329.67,989.01
ORD00000035,SKU001168,1,107.81,107.81
ORD00000035,SKU000209,2,24.82,49.64
ORD00000035,SKU001984,1,7.27,7.27
ORD00000036,SKU001582,1,32.95,32.95
ORD00000036,SKU001922,1,362.6,362.6
ORD00000037,SKU000287,1,25.71,25.71
ORD00000037,SKU000889,1,116.44,116.44
ORD00000038,SKU000112,1,34.27,34.27
ORD00000038,SKU001862,1,6.61,6.61
ORD00000039,SKU001928,1,16.53,16.53
ORD00000039,SKU000545,1,38.57,38.57
ORD00000040,SKU001828,1,730.69,730.69
ORD00000040,SKU001900,1,120.25,120.25
ORD00000040,SKU001425,1,17.21,17.21
ORD00000041,SKU000662,3,12.91,38.730000000000004
ORD00000041,SKU000757,1,4.2,4.2
ORD00000042,SKU001031,1,9.16,9.16
ORD00000042,SKU000896,3,461.51,1384.53
ORD00000043,SKU001484,2,98.9,197.8
ORD00000044,SKU001283,3,219.87,659.61
ORD00000044,SKU001207,2,114.19,228.38
ORD00000044,SKU000769,2,111.28,222.56
ORD00000045,SKU001503,1,383.95,383.95
ORD00000046,SKU000717,1,37.95,37.95
ORD00000046,SKU001674,1,374.97,374.97
ORD00000046,SKU001818,1,33.04,33.04
ORD00000047,SKU001898,2,118.23,236.46
ORD00000048,SKU000214,1,178.77,178.77
ORD00000048,SKU001907,1,111.73,111.73
ORD00000048,SKU000767,1,59.34,59.34
ORD00000049,SKU001670,1,344.03,344.03
ORD00000050,SKU001390,1,153.05,153.05
ORD00000050,SKU001305,2,153.7,307.4
ORD00000050,SKU000293,3,40.02,120.06
ORD00000050,SKU001772,1,239.0,239.0
ORD00000050,SKU000528,1,1165.63,1165.63
ORD00000051,SKU000171,2,89.85,179.7
ORD00000052,SKU000733,1,21.63,21.63
ORD00000052,SKU001465,1,605.93,605.93
ORD00000052,SKU000329,1,138.21,138.21
ORD00000052,SKU000687,1,32.18,32.18
ORD00000052,SKU001228,1,245.74,245.74
ORD00000053,SKU000027,1,140.94,140.94
ORD00000053,SKU000137,1,17.71,17.71
ORD00000053,SKU000418,1,18.4,18.4
ORD00000053,SKU000558,1,10.19,10.19
ORD00000054,SKU000189,1,8.16,8.16
ORD00000055,SKU000030,1,173.22,173.22
ORD00000055,SKU001233,1,72.8,72.8
ORD00000055,SKU001482,1,180.68,180.68
ORD00000055,SKU000784,1,61.33,61.33
ORD00000056,SKU000620,1,173.25,173.25
ORD00000056,SKU000189,1,8.16,8.16
ORD00000057,SKU001221,1,63.92,63.92
ORD00000058,SKU000914,1,11.39,11.39
ORD00000059,SKU001754,1,128.29,128.29
ORD00000060,SKU001854,1,8.16,8.16
ORD00000061,SKU001969,1,25.0,25.0
ORD00000061,SKU000547,1,248.42,248.42
ORD00000062,SKU001533,1,67.06,67.06
ORD00000063,SKU001643,1,55.17,55.17
ORD00000064,SKU001833,2,73.25,146.5
ORD00000064,SKU001334,1,15.71,15.71
ORD00000065,SKU000360,1,13.81,13.81
ORD00000065,SKU000169,1,16.6,16.6
ORD00000065,SKU001051,1,43.38,43.38
ORD00000065,SKU001400,1,12.15,12.15
ORD00000065,SKU000490,1,38.28,38.28
ORD00000066,SKU000292,1,80.32,80.32
ORD00000067,SKU001698,2,228.84,457.68
ORD00000067,SKU000244,2,28.05,56.1
ORD00000067,SKU000708,1,140.74,140.74
ORD00000067,SKU000205,1,16.97,16.97
ORD00000068,SKU000577,1,309.64,309.64
ORD00000068,SKU001422,2,37.59,75.18
ORD00000069,SKU000282,1,85.94,85.94
ORD00000069,SKU000650,2,187.58,375.16
ORD00000070,SKU001624,2,31.94,63.88
ORD00000071,SKU001362,1,176.9,176.9
ORD00000072,SKU001943,2,12.13,24.26
ORD00000072,SKU000400,1,61.69,61.69
ORD00000073,SKU001413,1,89.82,89.82
ORD00000073,SKU001175,1,388.59,388.59
ORD00000074,SKU001622,1,97.23,97.23
ORD00000075,SKU000097,1,1.64,1.64
ORD00000075,SKU001344,1,21.47,21.47
ORD00000076,SKU001356,1,15.77,15.77
ORD00000076,SKU001068,1,102.62,102.62
ORD00000077,SKU000609,1,34.53,34.53
ORD00000077,SKU001914,1,437.17,437.17
ORD00000078,SKU001734,1,173.42,173.42
ORD00000078,SKU001165,1,90.13,90.13
ORD00000078,SKU001086,1,116.23,116.23
ORD00000079,SKU000193,2,60.21,120.42
ORD00000080,SKU001977,1,211.99,211.99
ORD00000081,SKU000586,1,52.34,52.34
ORD00000081,SKU000293,2,40.02,80.04
ORD00000081,SKU001967,1,65.34,65.34
ORD00000082,SKU000577,1,309.64,309.64
ORD00000083,SKU001452,1,18.1,18.1
ORD00000083,SKU001312,2,343.09,686.18
ORD00000084,SKU001658,1,57.94,57.94
ORD00000084,SKU000383,1,40.85,40.85
ORD00000085,SKU000169,1,16.6,16.6
ORD00000086,SKU000881,1,103.92,103.92
ORD00000086,SKU000442,1,1.79,1.79
ORD00000087,SKU001875,1,19.26,19.26
ORD00000087,SKU000382,1,48.89,48.89
ORD00000087,SKU001775,1,46.89,46.89
ORD00000087,SKU000057,1,62.96,62.96
ORD00000087,SKU000199,1,44.25,44.25
ORD00000088,SKU001495,1,5.67,5.67
ORD00000089,SKU000665,1,42.45,42.45
ORD00000089,SKU000472,1,23.2,23.2
ORD00000089,SKU001689,2,210.52,421.04
ORD00000090,SKU000240,1,5.75,5.75
ORD00000091,SKU001179,1,87.49,87.49
ORD00000091,SKU000414,1,234.41,234.41
ORD00000092,SKU000914,1,11.39,11.39
ORD00000093,SKU001906,2,158.24,316.48
ORD00000094,SKU000570,1,15.03,15.03
ORD00000094,SKU000445,1,201.82,201.82
ORD00000095,SKU000482,1,93.97,93.97
ORD00000095,SKU001895,2,38.98,77.96
ORD00000096,SKU000917,1,156.17,156.17
ORD00000096,SKU000154,1,29.39,29.39
ORD00000097,SKU000566,2,22.55,45.1
ORD00000098,SKU001430,1,53.79,53.79
ORD00000099,SKU000008,1,27.3,27.3
ORD00000099,SKU001533,2,67.06,134.12
ORD00000099,SKU001387,1,245.45,245.45
ORD00000100,SKU000724,3,106.27,318.81
ORD00000100,SKU001618,1,185.89,185.89
ORD00000101,SKU001689,1,210.52,210.52
ORD00000101,SKU000186,1,40.96,40.96
ORD00000101,SKU000576,2,80.44,160.88
ORD00000101,SKU001413,1,89.82,89.82
ORD00000102,SKU001755,1,40.81,40.81
ORD00000102,SKU000169,1,16.6,16.6
ORD00000103,SKU001926,2,60.57,121.14
ORD00000104,SKU001630,1,95.29,95.29
ORD00000104,SKU000756,1,162.33,162.33
ORD00000104,SKU001802,1,140.02,140.02
ORD00000105,SKU000912,2,5.07,10.14
ORD00000106,SKU000892,1,159.19,159.19
ORD00000107,SKU001900,1,120.25,120.25
ORD00000107,SKU001758,2,266.45,532.9
ORD00000107,SKU000334,1,113.75,113.75
ORD00000107,SKU000186,1,40.96,40.96
ORD00000108,SKU001338,2,39.74,79.48
ORD00000108,SKU000386,2,105.73,211.46
ORD00000108,SKU000993,2,87.14,174.28
ORD00000109,SKU000897,2,6.99,13.98
ORD00000110,SKU001108,1,6.69,6.69
ORD00000110,SKU000393,1,16.25,16.25
ORD00000111,SKU000806,1,67.16,67.16
ORD00000111,SKU000778,1,139.85,139.85
ORD00000111,SKU001851,2,29.7,59.4
ORD00000111,SKU000338,1,42.5,42.5
ORD00000111,SKU000606,2,283.13,566.26
ORD00000112,SKU001222,1,9.4,9.4
ORD00000112,SKU000309,2,189.32,378.64
ORD00000113,SKU001833,1,73.25,73.25
ORD00000113,SKU001653,1,52.99,52.99
ORD00000114,SKU001360,1,6.77,6.77
ORD00000115,SKU001251,1,2.05,2.05
ORD00000116,SKU000921,1,78.66,78.66
ORD00000116,SKU000720,2,63.45,126.9
ORD00000117,SKU000998,3,281.04,843.1200000000001
ORD00000118,SKU000179,2,12.04,24.08
ORD00000118,SKU000962,1,228.31,228.31
ORD00000119,SKU000874,2,172.23,344.46
ORD00000119,SKU000531,1,35.67,35.67
ORD00000119,SKU000561,2,31.06,62.12
ORD00000120,SKU001376,2,121.16,242.32
ORD00000120,SKU000551,2,175.29,350.58
ORD00000121,SKU001896,2,33.03,66.06
ORD00000122,SKU000606,1,283.13,283.13
ORD00000123,SKU000221,2,32.49,64.98
ORD00000123,SKU000815,1,28.37,28.37
ORD00000123,SKU001291,2,22.66,45.32
ORD00000123,SKU001821,1,13.05,13.05
ORD00000124,SKU001532,1,228.19,228.19
ORD00000124,SKU000083,2,186.49,372.98
ORD00000125,SKU000526,2,16.37,32.74
ORD00000126,SKU000065,1,180.38,180.38
ORD00000126,SKU001130,1,81.46,81.46
ORD00000126,SKU000847,2,30.87,61.74
ORD00000127,SKU000486,2,35.39,70.78
ORD00000128,SKU001610,1,10.11,10.11
ORD00000128,SKU001117,1,69.86,69.86
ORD00000129,SKU000652,2,141.64,283.28
ORD00000129,SKU000834,2,151.69,303.38
ORD00000130,SKU001565,1,191.8,191.8
ORD00000130,SKU001459,2,35.76,71.52
ORD00000131,SKU001904,1,255.2,255.2
ORD00000132,SKU001646,1,75.03,75.03
ORD00000132,SKU000073,1,82.17,82.17
ORD00000132,SKU001111,1,119.58,119.58
ORD00000133,SKU001662,1,27.98,27.98
ORD00000133,SKU001106,1,60.47,60.47
ORD00000133,SKU001075,1,155.86,155.86
ORD00000134,SKU001895,2,38.98,77.96
ORD00000134,SKU000401,1,551.39,551.39
ORD00000135,SKU000222,1,338.18,338.18
ORD00000135,SKU001392,2,198.62,397.24
ORD00000136,SKU000336,1,77.99,77.99
ORD00000137,SKU001706,2,10.57,21.14
ORD00000137,SKU001727,2,292.63,585.26
ORD00000137,SKU001962,2,30.83,61.66
ORD00000137,SKU001739,3,61.82,185.46
ORD00000138,SKU001402,1,50.81,50.81
ORD00000138,SKU001002,1,340.46,340.46
ORD00000138,SKU000571,2,120.45,240.9
ORD00000138,SKU001895,1,38.98,38.98
ORD00000139,SKU000489,1,7.09,7.09
ORD00000140,SKU001304,1,34.01,34.01
ORD00000140,SKU001072,1,57.2,57.2
ORD00000141,SKU001209,2,24.52,49.04
ORD00000142,SKU000353,2,17.8,35.6
ORD00000143,SKU000833,2,20.45,40.9
ORD00000143,SKU000633,2,9.03,18.06
ORD00000144,SKU002000,1,136.53,136.53
ORD00000144,SKU001625,1,450.09,450.09
ORD00000144,SKU000245,1,686.4,686.4
ORD00000144,SKU001176,2,76.92,153.84
ORD00000144,SKU001402,1,50.81,50.81
ORD00000145,SKU001363,1,9.36,9.36
ORD00000145,SKU001304,1,34.01,34.01
ORD00000146,SKU000955,2,50.76,101.52
ORD00000146,SKU000568,1,4.69,4.69
ORD00000147,SKU001490,1,174.03,174.03
ORD00000147,SKU000706,2,7.01,14.02
ORD00000147,SKU001351,1,112.98,112.98
ORD00000147,SKU000450,1,38.41,38.41
ORD00000147,SKU000244,1,28.05,28.05
ORD00000148,SKU001422,1,37.59,37.59
ORD00000149,SKU000738,1,52.57,52.57
ORD00000150,SKU001053,1,172.03,172.03
ORD00000150,SKU001304,2,34.01,68.02
ORD00000150,SKU001956,1,69.41,69.41
ORD00000151,SKU000865,1,23.83,23.83
ORD00000151,SKU000900,1,12.29,12.29
ORD00000152,SKU000908,1,253.26,253.26
ORD00000152,SKU000720,1,63.45,63.45
ORD00000153,SKU000191,1,62.85,62.85
ORD00000153,SKU001199,1,50.97,50.97
ORD00000154,SKU001716,1,192.04,192.04
ORD00000155,SKU000413,1,98.23,98.23
ORD00000156,SKU000126,1,48.65,48.65
ORD00000157,SKU000446,1,111.61,111.61
ORD00000157,SKU000774,1,11.13,11.13
ORD00000157,SKU001241,2,33.34,66.68
ORD00000157,SKU001792,3,390.86,1172.58
ORD00000157,SKU000576,1,80.44,80.44
ORD00000158,SKU000788,1,47.9,47.9
ORD00000159,SKU001673,1,66.27,66.27
ORD00000159,SKU001068,1,102.62,102.62
ORD00000159,SKU001900,1,120.25,120.25
ORD00000160,SKU000116,1,18.54,18.54
ORD00000161,SKU000152,3,3.94,11.82
ORD00000161,SKU001700,2,215.74,431.48
ORD00000162,SKU000060,2,50.6,101.2
ORD00000162,SKU000283,1,53.45,53.45
ORD00000163,SKU000376,1,3.71,3.71
ORD00000164,SKU001594,2,168.12,336.24
ORD00000164,SKU000502,1,303.28,303.28
ORD00000164,SKU000389,1,101.72,101.72
ORD00000165,SKU000052,2,6.39,12.78
ORD00000165,SKU001369,2,212.82,425.64
ORD00000166,SKU001674,2,374.97,749.94
ORD00000166,SKU001564,1,87.19,87.19
ORD00000166,SKU001026,2,13.65,27.3
ORD00000167,SKU001865,1,300.18,300.18
ORD00000167,SKU001421,1,4.08,4.08
ORD00000167,SKU000234,1,121.28,121.28
ORD00000168,SKU000270,1,15.64,15.64
ORD00000168,SKU000937,1,8.8,8.8
ORD00000169,SKU000004,1,190.87,190.87
ORD00000169,SKU000826,1,299.87,299.87
ORD00000170,SKU001155,1,116.08,116.08
ORD00000171,SKU001109,1,134.55,134.55
ORD00000172,SKU000839,2,28.26,56.52
ORD00000173,SKU000930,1,55.6,55.6
ORD00000173,SKU000820,1,26.45,26.45
ORD00000173,SKU001189,1,16.0,16.0
ORD00000174,SKU001629,2,19.66,39.32
ORD00000175,SKU001591,1,250.68,250.68
ORD00000176,SKU000705,1,7.45,7.45
ORD00000176,SKU000061,3,39.44,118.32
ORD00000177,SKU001337,1,18.28,18.28
ORD00000177,SKU001640,1,45.97,45.97
ORD00000178,SKU000838,1,291.85,291.85
ORD00000179,SKU001229,1,23.5,23.5
ORD00000179,SKU001036,1,28.4,28.4
ORD00000180,SKU001300,2,66.25,132.5
ORD00000180,SKU001230,1,67.21,67.21
ORD00000180,SKU001220,1,45.17,45.17
ORD00000181,SKU000957,1,53.66,53.66
ORD00000181,SKU000821,2,152.93,305.86
ORD00000181,SKU001330,1,144.05,144.05
ORD00000182,SKU000691,3,321.9,965.6999999999999
ORD00000182,SKU001652,1,16.75,16.75
ORD00000183,SKU001565,3,191.8,575.4000000000001
ORD00000184,SKU000290,2,59.39,118.78
ORD00000184,SKU001175,2,388.59,777.18
ORD00000184,SKU000020,2,60.4,120.8
ORD00000185,SKU000250,1,211.27,211.27
ORD00000186,SKU000237,1,45.88,45.88
ORD00000187,SKU001687,1,12.17,12.17
ORD00000187,SKU001319,2,24.18,48.36
ORD00000187,SKU000217,1,16.18,16.18
ORD00000187,SKU001103,1,59.87,59.87
ORD00000188,SKU001077,2,2.31,4.62
ORD00000189,SKU000563,1,306.41,306.41
ORD00000190,SKU001055,1,25.3,25.3
ORD00000191,SKU001296,1,25.8,25.8
ORD00000191,SKU000511,1,4.72,4.72
ORD00000192,SKU001576,1,124.71,124.71
ORD00000192,SKU001868,1,54.78,54.78
ORD00000192,SKU000169,1,16.6,16.6
ORD00000193,SKU000690,1,146.45,146.45
ORD00000194,SKU001486,1,15.7,15.7
ORD00000195,SKU001071,1,4.75,4.75
ORD00000196,SKU001129,1,73.56,73.56
ORD00000196,SKU001217,1,27.41,27.41
ORD00000196,SKU000486,1,35.39,35.39
ORD00000197,SKU001066,2,109.11,218.22
ORD00000197,SKU001670,1,344.03,344.03
ORD00000198,SKU000149,1,48.44,48.44
ORD00000199,SKU000009,3,66.79,200.37
ORD00000200,SKU000578,1,87.78,87.78
ORD00000200,SKU000250,1,211.27,211.27
ORD00000200,SKU001053,1,172.03,172.03
ORD00000200,SKU000305,2,10.77,21.54
ORD00000201,SKU001207,2,114.19,228.38
ORD00000201,SKU000830,1,5.87,5.87
ORD00000201,SKU000520,2,184.29,368.58
ORD00000201,SKU001677,1,16.81,16.81
ORD00000201,SKU000979,1,200.96,200.96
ORD00000202,SKU001220,1,45.17,45.17
ORD00000202,SKU001203,1,57.87,57.87
ORD00000203,SKU001177,1,78.51,78.51
ORD00000203,SKU000651,1,74.15,74.15
ORD00000203,SKU001023,2,76.46,152.92
ORD00000204,SKU001220,1,45.17,45.17
ORD00000204,SKU000994,1,17.69,17.69
ORD00000204,SKU000761,3,110.6,331.79999999999995
ORD00000204,SKU000869,2,52.9,105.8
ORD00000205,SKU000808,1,175.34,175.34
ORD00000205,SKU000121,1,26.44,26.44
ORD00000205,SKU000231,2,88.95,177.9
ORD00000205,SKU000207,1,65.76,65.76
ORD00000206,SKU001427,1,14.3,14.3
ORD00000206,SKU000719,1,168.19,168.19
ORD00000206,SKU000008,1,27.3,27.3
ORD00000206,SKU000211,2,46.77,93.54
ORD00000206,SKU001539,1,49.61,49.61
ORD00000207,SKU000489,1,7.09,7.09
ORD00000207,SKU001098,1,5.87,5.87
ORD00000208,SKU000806,2,67.16,134.32
ORD00000208,SKU001287,3,87.15,261.45000000000005
ORD00000208,SKU001044,1,253.98,253.98
ORD00000209,SKU000308,2,413.56,827.12
ORD00000210,SKU000598,1,46.31,46.31
ORD00000211,SKU000787,1,9.43,9.43
ORD00000211,SKU001939,1,72.05,72.05
ORD00000211,SKU000187,1,136.42,136.42
ORD00000212,SKU001480,1,25.58,25.58
ORD00000212,SKU000466,1,220.9,220.9
ORD00000213,SKU001400,1,12.15,12.15
ORD00000214,SKU000876,1,295.42,295.42
ORD00000215,SKU001885,3,7.23,21.69
ORD00000216,SKU001438,1,110.93,110.93
ORD00000217,SKU000825,1,6.78,6.78
ORD00000218,SKU001375,1,67.84,67.84
ORD00000218,SKU000867,1,110.28,110.28
ORD00000218,SKU000938,1,5.12,5.12
ORD00000218,SKU001722,1,14.04,14.04
ORD00000219,SKU000688,2,41.11,82.22
ORD00000219,SKU000411,2,143.46,286.92
ORD00000219,SKU001030,1,17.68,17.68
ORD00000220,SKU000294,1,338.43,338.43
ORD00000220,SKU000846,1,344.91,344.91
ORD00000220,SKU001092,1,57.16,57.16
ORD00000220,SKU000902,1,5.67,5.67
ORD00000220,SKU001586,2,27.27,54.54
ORD00000221,SKU000717,1,37.95,37.95
ORD00000221,SKU001983,1,40.58,40.58
ORD00000222,SKU001048,1,18.33,18.33
ORD00000222,SKU000264,1,258.57,258.57
ORD00000223,SKU000444,2,72.39,144.78
ORD00000223,SKU000416,2,6.37,12.74
ORD00000224,SKU000134,1,83.76,83.76
ORD00000224,SKU000396,1,4.88,4.88
