order_id,customer_id,order_date,order_total,shipping_cost,shipping_method,fulfillment_center,order_status,total_weight,customer_zip
ORD00000001,C008637,2024-04-09,138.1,0.0,standard_free,FC_NJ05,delivered,0.57,29467
ORD00000002,C009545,2024-03-13,18.13,8.99,standard,,delivered,4.43,29708
ORD00000003,C003936,2024-10-31,83.92,0.0,standard_free,FC_TX03,delivered,10.29,94975
ORD00000004,C003960,2024-03-29,3.94,15.99,expedited,FC_GA04,delivered,1.65,47874
ORD00000005,C003716,2024-07-13,284.52,0.0,standard_free,FC_GA04,delivered,12.33,27822
ORD00000006,C001424,2024-11-07,271.04,0.0,standard_free,FC_NJ05,delivered,4.73,05402
ORD00000007,C000300,2024-08-09,30.93,15.99,expedited,FC_GA04,delivered,3.29,08473
ORD00000008,C007550,2023-10-15,880.45,0.0,standard_free,FC_TX03,delivered,8.65,33408
ORD00000009,C006168,2024-07-01,298.95,0.0,standard_free,FC_IL06,delivered,19.08,43941
ORD00000010,C005717,2024-07-24,63.04,8.99,standard,FC_NJ05,delivered,7.24,81729
ORD00000011,C003730,2024-06-30,64.69,15.99,expedited,,delivered,5.9,70711
ORD00000012,C002332,2024-12-12,22.37,8.99,standard,FC_GA04,delivered,2.69,52937
ORD00000013,C001062,2024-01-15,52.7,8.99,standard,FC_NJ05,delivered,8.3,40437
ORD00000014,C009380,2023-10-07,287.59,0.0,standard_free,,delivered,2.34,32084
ORD00000015,C001136,2023-05-18,25.18,8.99,standard,FC_TX03,delivered,2.65,96941
ORD00000016,C008430,2024-12-07,16.76,15.99,expedited,FC_TX03,delivered,1.58,93277
ORD00000017,C006193,2024-02-14,147.43,0.0,standard_free,FC_WA02,delivered,2.23,98360
ORD00000018,C008578,2024-11-04,31.05,0.0,standard_free,FC_TX03,delivered,1.57,59704
ORD00000019,C003496,2022-11-14,38.54,8.99,standard,FC_GA04,cancelled,2.91,59440
ORD00000020,C009316,2023-12-06,1695.64,0.0,standard_free,FC_NJ05,delivered,14.15,12241
ORD00000021,C001874,2024-07-24,110.74,0.0,standard_free,,delivered,12.48,12683
ORD00000022,C000879,2024-12-15,87.02,0.0,standard_free,FC_TX03,delivered,7.51,81535
ORD00000023,C009525,2024-08-09,356.32,0.0,standard_free,FC_NJ05,delivered,1.42,22519
ORD00000024,C007464,2024-11-20,1036.99,0.0,standard_free,FC_CA01,delivered,10.48,05166
ORD00000025,C003308,2024-03-25,22.22,0.0,standard_free,FC_FL07,delivered,1.28,12925
ORD00000026,C001337,2024-07-28,220.01,0.0,standard_free,FC_IL06,delivered,0.6,82451
ORD00000027,C009193,2022-12-27,288.72,0.0,standard_free,FC_GA04,delivered,5.33,03085
ORD00000028,C007337,2022-01-24,293.86,0.0,standard_free,FC_TX03,delivered,3.74,74687
ORD00000029,C000163,2024-09-07,925.92,0.0,standard_free,FC_FL07,cancelled,13.16,63873
ORD00000030,C006150,2024-12-31,75.03,0.0,standard_free,FC_TX03,processing,1.5,41312
ORD00000031,C000052,2024-02-23,35.17,0.0,standard_free,FC_CA01,delivered,5.66,96062
ORD00000032,C004900,2024-09-07,23.18,8.99,standard,FC_IL06,cancelled,2.22,26042
ORD00000033,C000338,2022-02-21,142.43,0.0,standard_free,FC_FL07,delivered,2.54,38448
ORD00000034,C004738,2022-07-27,74.02,8.99,standard,FC_CA01,delivered,5.19,14544
ORD00000035,C009879,2024-09-17,1153.73,0.0,standard_free,FC_GA04,delivered,7.7,10960
ORD00000036,C005226,2023-10-01,553.77,0.0,standard_free,FC_NJ05,delivered,5.37,59303
ORD00000037,C008169,2024-08-22,142.15,0.0,standard_free,FC_CA01,delivered,3.14,14010
ORD00000038,C000920,2023-04-15,36.79,8.99,standard,FC_WA02,delivered,3.16,55613
ORD00000039,C004684,2024-06-14,49.59,15.99,expedited,,delivered,3.14,79422
ORD00000040,C002611,2024-12-26,1215.41,0.0,standard_free,FC_NJ05,delivered,10.98,16438
ORD00000041,C004100,2024-11-24,60.1,0.0,standard_free,FC_GA04,delivered,4.73,99136
ORD00000042,C003761,2024-12-30,1951.17,0.0,standard_free,FC_TX03,shipped,7.16,51720
ORD00000043,C004932,2023-09-02,197.8,0.0,standard_free,FC_TX03,delivered,3.98,95142
ORD00000044,C001019,2024-11-05,1554.77,0.0,standard_free,FC_WA02,cancelled,18.27,91743
ORD00000045,C004833,2024-10-26,537.53,0.0,standard_free,FC_TX03,delivered,3.33,20271
ORD00000046,C007539,2023-06-26,401.36,0.0,standard_free,FC_NJ05,delivered,6.36,68482
ORD00000047,C003340,2024-10-19,331.04,0.0,standard_free,FC_GA04,delivered,0.83,95075
ORD00000048,C009464,2024-01-28,279.87,0.0,standard_free,FC_FL07,delivered,4.23,21934
ORD00000049,C007540,2022-11-30,481.64,0.0,standard_free,FC_GA04,delivered,2.75,82949
ORD00000050,C006544,2024-03-14,1588.11,0.0,standard_free,FC_WA02,delivered,22.87,75380
