sku_id,product_name,category,subcategory,brand,price,weight_lbs,dimensions_cubic_in,launch_date,seasonality_factor,base_demand
SKU000001,User-friendly tangible circuit,Sports,Hear,"Klein, Brown and Jordan",93.36,0.9450015419872776,113.46986206418312,2025-04-14,1.3,60
SKU000002,Proactive logistical capability,Sports,Open,Lee-Morales,126.75,1.3712018206597714,186.68882569711283,2025-03-15,1.3,60
SKU000003,Sharable bi-directional leverage,Home & Garden,Figure,Haynes LLC,15.52,1.4860395606191465,170.12975721218731,2023-09-13,1.1,80
SKU000004,Diverse grid-enabled implementation,Clothing,Student,Williams Inc,190.87,0.0919799300605476,75.76776192057679,2023-12-31,1.5,150
SKU000005,Cross-platform incremental software,Electronics,Industry,Marshall-Hernandez,282.56,1.5342993635231945,94.843300538045,2025-03-22,1.2,100
SKU000006,Adaptive leadingedge budgetary management,Electronics,Clearly,Johnston-Mann,88.12,1.207956240712373,155.52743998972085,2025-01-12,1.2,100
SKU000007,Persistent bi-directional intranet,Home & Garden,Law,Figueroa LLC,74.17,1.2537788789733535,170.28580454094495,2023-08-04,1.1,80
SKU000008,Open-source well-modulated frame,Clothing,Could,"Ellis, Hudson and Lawson",27.3,0.19442786763876135,64.41246547633268,2023-08-15,1.5,150
SKU000009,Team-oriented explicit database,Sports,Music,"Soto, Tucker and Ball",66.79,4.068904055183247,50.478058168507125,2024-07-20,1.3,60
SKU000010,Object-based client-driven concept,Books,Thus,Johnson-Rojas,22.03,3.3223842580596403,117.9229951492461,2024-03-26,0.9,40
SKU000011,Fully-configurable asynchronous infrastructure,Sports,Push,Andrews LLC,199.25,2.822021130027849,244.485366932902,2024-08-27,1.3,60
SKU000012,Integrated intangible flexibility,Electronics,Various,Martinez-Barnes,248.06,1.1515281726512976,287.0902258535369,2025-04-29,1.2,100
SKU000013,Horizontal human-resource workforce,Home & Garden,Manage,"Moore, Valdez and Fleming",48.6,1.2660512750721973,40.205145515173115,2024-06-30,1.1,80
SKU000014,Secured 3rdgeneration infrastructure,Electronics,Rule,Flores Ltd,98.46,1.8099921396243488,232.42134117673658,2024-04-25,1.2,100
SKU000015,Automated stable contingency,Clothing,Increase,Young Inc,12.68,1.4219334522960512,92.4251235285211,2025-01-22,1.5,150
SKU000016,Secured methodical definition,Home & Garden,Better,Moore Ltd,59.79,3.212147793515906,171.5234743295576,2023-09-09,1.1,80
SKU000017,Universal intermediate info-mediaries,Sports,Leg,Sullivan-Morris,30.78,1.8692242068022051,190.63446412258264,2024-12-18,1.3,60
SKU000018,Adaptive fresh-thinking emulation,Clothing,Simply,"White, Moore and Bonilla",130.39,1.6124033214741837,325.0861024573786,2023-10-24,1.5,150
SKU000019,Team-oriented incremental open system,Clothing,Fall,Rogers Ltd,21.44,0.6627899437583604,98.4016750109187,2023-12-04,1.5,150
SKU000020,Profit-focused value-added Internet solution,Sports,White,Owens Ltd,60.4,2.9436323927503434,101.62648658049034,2023-08-06,1.3,60
