fc_id,destination_zip,standard_cost,expedited_cost,avg_transit_days,carrier
FC_CA01,90210,14.95,26.91,4,USPS
FC_CA01,10001,8.26,14.88,5,USPS
FC_CA01,60601,19.09,34.36,5,UPS
FC_CA01,30309,20.5,36.89,5,FedEx
FC_CA01,77001,26.91,48.43,7,UPS
FC_CA01,98101,6.65,11.97,5,UPS
FC_CA01,33101,15.32,27.57,1,UPS
FC_CA01,19101,12.16,21.88,5,USPS
FC_CA01,85001,9.94,17.89,3,UPS
FC_CA01,80201,9.45,17.0,5,USPS
FC_CA01,97201,13.28,23.9,1,FedEx
FC_CA01,84101,6.53,11.76,7,UPS
FC_CA01,89101,4.79,8.62,3,USPS
FC_CA01,37201,26.93,48.47,6,FedEx
FC_WA02,90210,17.03,30.65,6,FedEx
FC_WA02,10001,13.46,24.24,5,UPS
FC_WA02,60601,26.15,47.07,5,UPS
FC_WA02,30309,11.98,21.57,5,UPS
FC_WA02,77001,28.03,50.46,5,UPS
FC_WA02,98101,12.95,23.31,7,UPS
FC_WA02,33101,26.98,48.56,1,UPS
FC_WA02,19101,12.37,22.27,3,USPS
FC_WA02,85001,21.52,38.74,5,UPS
FC_WA02,80201,6.27,11.28,6,FedEx
FC_WA02,97201,24.38,43.88,7,UPS
FC_WA02,84101,12.93,23.28,4,USPS
FC_WA02,89101,11.32,20.37,6,USPS
FC_WA02,37201,28.47,51.25,1,FedEx
FC_TX03,90210,15.78,28.4,1,UPS
FC_TX03,10001,29.41,52.95,1,FedEx
FC_TX03,60601,12.88,23.18,2,FedEx
FC_TX03,30309,20.55,36.99,2,FedEx
FC_TX03,77001,26.25,47.25,7,FedEx
FC_TX03,98101,7.25,13.05,3,USPS
FC_TX03,33101,10.2,18.36,1,UPS
FC_TX03,19101,26.53,47.76,1,UPS
FC_TX03,85001,17.1,30.79,5,UPS
FC_TX03,80201,24.26,43.66,7,FedEx
FC_TX03,97201,21.72,39.09,2,USPS
FC_TX03,84101,17.39,31.3,5,UPS
FC_TX03,89101,26.99,48.59,6,UPS
FC_TX03,37201,12.95,23.3,7,FedEx
FC_GA04,90210,13.85,24.93,3,UPS
FC_GA04,10001,17.0,30.61,5,FedEx
FC_GA04,60601,27.35,49.23,3,UPS
FC_GA04,30309,8.7,15.65,6,UPS
FC_GA04,77001,27.75,49.94,6,FedEx
FC_GA04,98101,11.79,21.22,5,UPS
FC_GA04,33101,28.43,51.18,7,USPS
FC_GA04,19101,13.57,24.43,5,USPS
FC_GA04,85001,25.08,45.14,6,USPS
FC_GA04,80201,29.66,53.39,6,FedEx
FC_GA04,97201,20.18,36.33,6,UPS
FC_GA04,84101,9.78,17.61,6,USPS
FC_GA04,89101,25.12,45.22,7,FedEx
FC_GA04,37201,14.89,26.81,2,UPS
FC_NJ05,90210,21.83,39.3,4,UPS
FC_NJ05,10001,5.81,10.46,3,UPS
FC_NJ05,60601,20.79,37.43,6,UPS
FC_NJ05,30309,18.15,32.67,7,FedEx
FC_NJ05,77001,17.02,30.64,1,FedEx
FC_NJ05,98101,29.65,53.37,6,UPS
FC_NJ05,33101,20.97,37.74,5,FedEx
FC_NJ05,19101,13.82,24.88,5,USPS
FC_NJ05,85001,17.22,31.0,3,FedEx
FC_NJ05,80201,10.52,18.94,2,FedEx
FC_NJ05,97201,15.78,28.41,7,FedEx
FC_NJ05,84101,27.36,49.25,5,UPS
FC_NJ05,89101,19.87,35.77,3,FedEx
FC_NJ05,37201,23.46,42.23,3,FedEx
FC_IL06,90210,7.57,13.62,2,FedEx
FC_IL06,10001,17.6,31.68,3,FedEx
FC_IL06,60601,25.98,46.76,2,UPS
FC_IL06,30309,9.76,17.57,5,USPS
FC_IL06,77001,11.04,19.87,1,FedEx
FC_IL06,98101,16.93,30.47,6,FedEx
FC_IL06,33101,19.54,35.17,2,UPS
FC_IL06,19101,16.64,29.95,3,USPS
FC_IL06,85001,10.55,19.0,5,UPS
FC_IL06,80201,12.92,23.26,3,USPS
FC_IL06,97201,12.11,21.8,2,USPS
FC_IL06,84101,7.96,14.32,6,FedEx
FC_IL06,89101,24.07,43.32,2,FedEx
FC_IL06,37201,7.54,13.58,5,FedEx
FC_FL07,90210,13.93,25.07,7,FedEx
FC_FL07,10001,19.1,34.37,1,UPS
FC_FL07,60601,8.99,16.18,1,FedEx
FC_FL07,30309,23.99,43.18,2,UPS
FC_FL07,77001,14.79,26.63,1,USPS
FC_FL07,98101,10.09,18.16,3,UPS
FC_FL07,33101,22.57,40.62,5,UPS
FC_FL07,19101,21.28,38.3,2,USPS
FC_FL07,85001,23.77,42.79,7,UPS
FC_FL07,80201,24.12,43.42,5,UPS
FC_FL07,97201,15.61,28.1,5,FedEx
FC_FL07,84101,22.72,40.9,7,FedEx
FC_FL07,89101,27.28,49.1,6,USPS
FC_FL07,37201,21.81,39.26,1,UPS
